"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ecm1",0,1.78167040594774,0.996,0.785,0,"0","Ecm1"
"Igfbp7",3.87135890771013e-295,1.26746291362512,0.997,0.934,6.21159536742091e-291,"0","Igfbp7"
"Tcf21",6.96496063664006e-281,1.89256123222232,0.952,0.535,1.1175279341489e-276,"0","Tcf21"
"Edil3",4.24377883162505e-276,2.67448528963306,0.713,0.146,6.8091431353424e-272,"0","Edil3"
"Hpse",2.98111650597406e-275,2.55751745891311,0.726,0.159,4.78320143383538e-271,"0","Hpse"
"Tnfsf13b",3.5465750009693e-256,2.5773826043986,0.681,0.147,5.69047958905524e-252,"0","Tnfsf13b"
"Igfbp4",1.65505047663204e-250,1.46253599259251,0.991,0.781,2.65552848975612e-246,"0","Igfbp4"
"Hgf",1.23307965824868e-248,2.48917464764556,0.716,0.179,1.97847631166001e-244,"0","Hgf"
"Ifitm1",7.60612704303654e-247,1.79320998707454,0.895,0.338,1.22040308405521e-242,"0","Ifitm1"
"Htra1",5.87535277349211e-241,1.4837007728495,0.968,0.6,9.42700352506808e-237,"0","Htra1"
"Rarres2",1.72348528528167e-238,1.20791242024679,0.996,0.86,2.76533214023443e-234,"0","Rarres2"
"Postn",8.39122940484185e-238,1.44895586763302,0.998,0.795,1.34637275800687e-233,"0","Postn"
"Col3a1",1.12568439969343e-232,0.940911027276148,1,0.982,1.80616061930811e-228,"0","Col3a1"
"Bgn",2.04518596677018e-229,1.02706268366495,0.996,0.918,3.28150088368276e-225,"0","Bgn"
"Col15a1",3.37030377902352e-226,1.55028559490075,0.919,0.392,5.40765241344324e-222,"0","Col15a1"
"Wnt4",9.72405052941391e-218,2.2566868909996,0.66,0.156,1.56022390744446e-213,"0","Wnt4"
"Ppic",1.78262908195692e-204,1.64310459895681,0.867,0.457,2.86022836199988e-200,"0","Ppic"
"Cox7c",6.3545961842666e-198,1.11872306481501,0.979,0.774,1.01959495776558e-193,"0","Cox7c"
"Tmem176b",1.01508185576682e-194,1.22373409781806,0.976,0.537,1.62869883757786e-190,"0","Tmem176b"
"Gask1b",4.3657358794238e-192,1.61447276117512,0.821,0.316,7.00482321853548e-188,"0","Gask1b"
"Stmn2",3.85629157011681e-189,3.76759482010706,0.44,0.063,6.18741982425242e-185,"0","Stmn2"
"Adamdec1",5.96667677068686e-182,0.898570491377216,0.944,0.48,9.57353287856706e-178,"0","Adamdec1"
"Tmem176a",2.22344357200528e-179,1.33930370578887,0.946,0.482,3.56751521128246e-175,"0","Tmem176a"
"Abi3bp",6.9232460829733e-177,1.24188651468874,0.951,0.636,1.11083483401307e-172,"0","Abi3bp"
"Cxcl12",5.23321131020615e-168,1.20024249448605,0.921,0.516,8.39668754722577e-164,"0","Cxcl12"
"Vcan",1.42021932615225e-166,1.24395312804511,0.941,0.616,2.27874190881128e-162,"0","Vcan"
"Apoe",1.88714954384996e-165,1.77687027240882,0.738,0.328,3.02793144310726e-161,"0","Apoe"
"Ctsl",2.32698754823028e-163,0.966340480567018,0.99,0.862,3.73365152113548e-159,"0","Ctsl"
"Bmp4",2.860128407688e-161,1.03007960738821,0.978,0.692,4.58907603013539e-157,"0","Bmp4"
"Tmsb10",2.77068364942306e-157,0.830129750591405,0.992,0.895,4.4455619154993e-153,"0","Tmsb10"
"Vcam1",1.73198519329668e-155,1.92924511940215,0.611,0.192,2.77897024264452e-151,"0","Vcam1"
"Lgmn",4.44823480162757e-155,1.40678481061299,0.807,0.387,7.13719273921144e-151,"0","Lgmn"
"C4b",5.12690134093358e-155,1.64496481013396,0.783,0.343,8.22611320152792e-151,"0","C4b"
"H2-D1",6.57728086288353e-153,0.978506875862565,0.981,0.79,1.05532471444966e-148,"0","H2-D1"
"Itm2b",1.72449092726135e-151,0.741563988875051,0.996,0.912,2.76694569279084e-147,"0","Itm2b"
"Ctsk",4.20403437611249e-150,1.81414384808895,0.718,0.321,6.74537315647248e-146,"0","Ctsk"
"Cd63",1.60294917427295e-145,0.826033556774191,0.993,0.84,2.57193195012094e-141,"0","Cd63"
"Fbln1",9.18846064603241e-143,0.952999563810891,0.994,0.738,1.4742885106559e-138,"0","Fbln1"
"Ccn2",1.3615415397674e-142,1.67312828249758,0.802,0.462,2.1845934005568e-138,"0","Ccn2"
"Adam23",1.31957720770322e-140,1.6244990884612,0.585,0.174,2.11726162975982e-136,"0","Adam23"
"Pmepa1",2.75090691451936e-138,0.975521490356501,0.975,0.747,4.41383014434631e-134,"0","Pmepa1"
"Phlda1",1.80426002549432e-137,1.15538546590942,0.969,0.769,2.89493521090563e-133,"0","Phlda1"
"Rpl21",2.68527346872451e-137,0.779957430361982,0.991,0.838,4.30852128056848e-133,"0","Rpl21"
"Igfbp3",3.96378723633111e-134,1.37896230834451,0.686,0.253,6.35989662069326e-130,"0","Igfbp3"
"Rps11",7.42435145053243e-134,0.774379275716895,0.984,0.841,1.19123719023793e-129,"0","Rps11"
"Anxa2",1.53142643490317e-132,0.972996004618956,0.976,0.804,2.45717371480214e-128,"0","Anxa2"
"Eln",4.42636203496736e-132,1.60646438466533,0.874,0.598,7.10209788510514e-128,"0","Eln"
"Pltp",2.55781079972629e-131,1.18320964336516,0.871,0.52,4.10400742816083e-127,"0","Pltp"
"Akr1b3",1.46998282980344e-129,1.5637924628467,0.667,0.283,2.35858745041962e-125,"0","Akr1b3"
"S100a4",3.37567453944412e-129,2.76086369487723,0.471,0.132,5.41626979853809e-125,"0","S100a4"
"Clec3b",1.47078069895938e-128,0.874377594169613,0.981,0.761,2.35986763148032e-124,"0","Clec3b"
"Ddah1",7.28922146942015e-128,2.85376156395384,0.349,0.059,1.16955558476846e-123,"0","Ddah1"
"Lgals1",6.55214202114006e-127,0.78848142482655,0.996,0.88,1.05129118729192e-122,"0","Lgals1"
"Svep1",2.69019100698044e-126,0.974092277322469,0.952,0.694,4.31641147070011e-122,"0","Svep1"
"Plac8",3.76119671423792e-126,1.0343313131459,0.914,0.561,6.03484012799474e-122,"0","Plac8"
"Osr1",9.7157788351212e-126,1.65461732847973,0.669,0.296,1.5588967140952e-121,"0","Osr1"
"Rpsa",2.24814433013679e-125,0.652036859403547,0.995,0.915,3.60714757770449e-121,"0","Rpsa"
"Prrx2",1.28584688688992e-124,2.46328537755521,0.393,0.084,2.06314133001488e-120,"0","Prrx2"
"Rps5",4.82468693503266e-124,0.677395420987174,0.991,0.903,7.7412101872599e-120,"0","Rps5"
"Ubb",6.32415727704886e-124,0.872163730245142,0.982,0.796,1.01471103510249e-119,"0","Ubb"
"Col12a1",2.32331068870989e-123,1.05438403537607,0.827,0.421,3.72775200003501e-119,"0","Col12a1"
"Sdc2",4.83907527716003e-123,1.08587916701938,0.916,0.688,7.76429628220327e-119,"0","Sdc2"
"Fn1",1.28825893725699e-122,1.05592946273503,0.988,0.852,2.06701146482884e-118,"0","Fn1"
"Nrp1",2.95377145611768e-121,1.12427896762914,0.807,0.404,4.73932630134081e-117,"0","Nrp1"
"Sparc",3.76535047480506e-121,0.632778398745516,0.999,0.97,6.04150483682472e-117,"0","Sparc"
"Hspa1a",6.014737102785e-121,1.17620197941193,0.919,0.658,9.65064568141854e-117,"0","Hspa1a"
"Rpl28",8.3135311692722e-121,0.721708534731305,0.987,0.847,1.33390607610972e-116,"0","Rpl28"
"Ppib",1.19098082841935e-120,0.890562282236924,0.954,0.698,1.91092873919884e-116,"0","Ppib"
"Col18a1",3.39936014479282e-119,1.20294571479236,0.762,0.391,5.45427335232008e-115,"0","Col18a1"
"Rpl19",4.07162639710408e-119,0.640103887327535,0.992,0.904,6.53292455415349e-115,"0","Rpl19"
"Timp3",1.57810959527516e-118,1.21133390436043,0.935,0.701,2.532076845619e-114,"0","Timp3"
"Serping1",1.08876956841021e-117,0.693775820046101,0.994,0.841,1.74693077251418e-113,"0","Serping1"
"Ccl8",5.82645760989604e-117,3.70506541112112,0.273,0.032,9.3485512350782e-113,"0","Ccl8"
"Ptges",5.50330612707265e-115,1.64509362056847,0.594,0.24,8.83005468088807e-111,"0","Ptges"
"Ftl1",6.39259296055171e-115,0.683169259203887,0.995,0.928,1.02569154052052e-110,"0","Ftl1"
"S100a1",9.33463762078527e-114,1.3318171011368,0.743,0.398,1.497742606255e-109,"0","S100a1"
"Anxa5",1.64792346762033e-113,0.764775815680991,0.979,0.831,2.64409320379682e-109,"0","Anxa5"
"Tmem119",2.18164487265811e-113,1.04718108528576,0.79,0.394,3.50044919817994e-109,"0","Tmem119"
"Rps16",1.58586771361332e-111,0.687357178472739,0.989,0.858,2.54452474649257e-107,"0","Rps16"
"Rps13",7.45882295395278e-110,0.713064679295773,0.988,0.811,1.19676814296172e-105,"0","Rps13"
"Rpl11",1.04662701487251e-108,0.702609438181885,0.988,0.821,1.67931304536295e-104,"0","Rpl11"
"Fau",1.9761696358443e-108,0.635249828682591,0.991,0.885,3.17076418071219e-104,"0","Fau"
"Rdh10",2.10120424637839e-108,1.69019283203744,0.537,0.195,3.37138221331412e-104,"0","Rdh10"
"Rpl8",3.68835085946236e-107,0.611129689874766,0.996,0.908,5.91795895400736e-103,"0","Rpl8"
"Enpp3",3.09791004028727e-104,1.65059764077976,0.54,0.205,4.97059665964092e-100,"0","Enpp3"
"Hapln1",7.96670820734369e-104,2.63531850126414,0.304,0.053,1.27825833186829e-99,"0","Hapln1"
"Rpl18a",7.72982447807115e-103,0.637768734128887,0.992,0.876,1.24025033750652e-98,"0","Rpl18a"
"C1qtnf3",1.00247441264238e-102,1.20085492105723,0.736,0.367,1.6084701950847e-98,"0","C1qtnf3"
"Rpl13",1.37222751927414e-102,0.6400985020632,0.996,0.874,2.20173905467536e-98,"0","Rpl13"
"Sdc3",2.62683881371222e-102,1.8654350868357,0.45,0.141,4.21476287660126e-98,"0","Sdc3"
"Rpl39",1.36773063138036e-101,0.59960379206726,0.995,0.905,2.19452379804979e-97,"0","Rpl39"
"Bmp6",5.49909018708951e-100,1.4856313437335,0.583,0.242,8.82329020518511e-96,"0","Bmp6"
"Olfml3",9.30587976354035e-100,1.21383507106456,0.709,0.361,1.49312840806005e-95,"0","Olfml3"
"AW112010",2.90734703336719e-99,1.38638402307323,0.644,0.298,4.66483831503765e-95,"0","AW112010"
"Sod3",5.75715806379671e-99,1.15193582997949,0.844,0.578,9.23736011336182e-95,"0","Sod3"
"Nnmt",2.77233792133432e-97,1.42851975426802,0.637,0.301,4.44821619478091e-93,"0","Nnmt"
"Sfrp2",4.21916968156498e-97,3.35200293361296,0.258,0.04,6.76965775407101e-93,"0","Sfrp2"
"Mmp2",5.86942103803478e-97,0.843909764054924,0.943,0.679,9.4174860555268e-93,"0","Mmp2"
"Cpq",7.67776150643382e-97,0.968239734779006,0.858,0.57,1.23189683370731e-92,"0","Cpq"
"Ctsb",9.12378436955457e-97,0.669152310625035,0.982,0.85,1.46391120209503e-92,"0","Ctsb"
"Serpina3n",1.4033473696104e-96,1.3383971461674,0.676,0.32,2.25167085453989e-92,"0","Serpina3n"
"Rpl23",3.92682633044579e-96,0.57263252161917,0.994,0.916,6.30059284720026e-92,"0","Rpl23"
"Rpl37",4.97110679714515e-96,0.599404183303305,0.994,0.887,7.9761408560194e-92,"0","Rpl37"
"Rpl36",6.40408315794195e-96,0.65407064275704,0.986,0.832,1.02753514269179e-91,"0","Rpl36"
"Pianp",2.25112356567069e-95,1.9245329314131,0.401,0.115,3.61192776111862e-91,"0","Pianp"
"D630033O11Rik",3.28861931780796e-95,2.35552637366263,0.303,0.06,5.27658969542287e-91,"0","D630033O11Rik"
"Isl1",7.17091447449578e-95,1.68005067633909,0.421,0.124,1.15057322743285e-90,"0","Isl1"
"Rps28",8.38012132727161e-95,0.560750494057187,0.995,0.898,1.34459046696073e-90,"0","Rps28"
"Vstm4",1.00186712935548e-94,1.73302184702598,0.377,0.097,1.60749580905086e-90,"0","Vstm4"
"Rps4x",1.4354962660389e-94,0.582827187160623,0.993,0.89,2.30325375885941e-90,"0","Rps4x"
"Emp3",2.4609344227038e-94,0.770601479806856,0.958,0.742,3.94856928122824e-90,"0","Emp3"
"Rps2",5.21014369988644e-94,0.608337667790029,0.993,0.871,8.3596755664678e-90,"0","Rps2"
"Ifitm3",6.06951520007489e-94,0.637344781714034,0.99,0.872,9.73853713852015e-90,"0","Ifitm3"
"Eid1",8.09155785012722e-93,1.01637277074695,0.838,0.548,1.29829045705291e-88,"0","Eid1"
"Rpl41",3.50346394271428e-92,0.485267852214988,0.999,0.953,5.62130789608506e-88,"0","Rpl41"
"Oaf",4.49608364134383e-92,1.1278166650961,0.762,0.464,7.21396620253617e-88,"0","Oaf"
"Slc9a3r2",5.04665152480025e-92,1.42027842659074,0.535,0.211,8.097352371542e-88,"0","Slc9a3r2"
"Bmp5",3.33937274554592e-91,0.804836877116183,0.631,0.249,5.35802357022843e-87,"0","Bmp5"
"Eva1b",3.49700314848492e-91,1.07401993349048,0.693,0.358,5.61094155174405e-87,"0","Eva1b"
"Ier3",2.24104795045507e-90,1.06336488537754,0.847,0.569,3.59576143650516e-86,"0","Ier3"
"S100a6",2.30877505263611e-90,0.579743857596812,0.998,0.964,3.70442957195463e-86,"0","S100a6"
"Nupr1",3.00050439960933e-90,0.890737010845757,0.881,0.597,4.81430930917317e-86,"0","Nupr1"
"Rps29",3.61242511389675e-90,0.493436656199798,0.996,0.961,5.79613609524734e-86,"0","Rps29"
"Rps27",7.28953529089989e-90,0.555526264082701,0.992,0.902,1.16960593742489e-85,"0","Rps27"
"Rplp0",1.84002060215133e-89,0.58470152201198,0.988,0.872,2.9523130561518e-85,"0","Rplp0"
"Eef1a1",2.07595668243192e-89,0.459125281138052,0.999,0.967,3.33087249696202e-85,"0","Eef1a1"
"Rps20",2.5391108395657e-89,0.575832573715127,0.992,0.887,4.07400334208317e-85,"0","Rps20"
"Sulf2",2.75527516622353e-89,1.11180036792967,0.755,0.432,4.42083900420565e-85,"0","Sulf2"
"Rps18",3.62118802906609e-89,0.623186443007947,0.988,0.823,5.81019619263653e-85,"0","Rps18"
"Rps24",6.18976135713352e-89,0.517076010320095,0.994,0.941,9.93147209752074e-85,"0","Rps24"
"Rps3a1",1.45117495797678e-88,0.575105572608633,0.992,0.875,2.32841022007374e-84,"0","Rps3a1"
"Ramp2",3.33736347478463e-88,1.34262023488409,0.601,0.286,5.35479969529193e-84,"0","Ramp2"
"Rpl6",2.26282086559389e-87,0.581051247304958,0.991,0.862,3.6306960788454e-83,"0","Rpl6"
"Rpl29",5.48997250423215e-87,0.683355322887138,0.97,0.778,8.80866088304048e-83,"0","Rpl29"
"Tspo",6.67708293408641e-87,0.809713850423968,0.94,0.711,1.07133795677416e-82,"0","Tspo"
"Itih5",4.20330368221114e-86,0.842901369124697,0.916,0.668,6.74420075810777e-82,"0","Itih5"
"Tnfaip2",2.95682710686032e-85,0.711016892429746,0.894,0.576,4.74422909295738e-81,"0","Tnfaip2"
"Pdpn",2.20714950327382e-83,1.00289973240217,0.755,0.439,3.54137137800284e-79,"0","Pdpn"
"Rpl32",3.90804792781763e-83,0.555299281862404,0.993,0.883,6.27046290018339e-79,"0","Rpl32"
"Ereg",6.7088764059383e-83,2.20903089356523,0.477,0.19,1.0764392193328e-78,"0","Ereg"
"Vangl1",7.30401019474585e-83,1.25403361725016,0.545,0.234,1.17192843574697e-78,"0","Vangl1"
"Rpl30",1.08808148158386e-82,0.614223652208473,0.979,0.809,1.7458267372013e-78,"0","Rpl30"
"Fbln5",7.1365826386115e-82,1.17022257501199,0.7,0.4,1.14506468436521e-77,"0","Fbln5"
"Aldh2",2.77262437702584e-81,0.696498936164622,0.946,0.743,4.44867581293796e-77,"0","Aldh2"
"Rpl9",3.53901291957765e-81,0.584493698125068,0.987,0.847,5.67834622946234e-77,"0","Rpl9"
"F2r",6.08809694711851e-81,0.870646646144119,0.644,0.29,9.76835155165164e-77,"0","F2r"
"Ltbp4",1.05309768965596e-80,0.605458245496471,0.992,0.912,1.68969524305299e-76,"0","Ltbp4"
"Rps7",1.6768963948254e-80,0.648634279001262,0.96,0.751,2.69058026549735e-76,"0","Rps7"
"Fxyd5",3.50531365002247e-80,1.2006004664616,0.62,0.309,5.62427575146105e-76,"0","Fxyd5"
"Loxl1",5.67785322208516e-80,0.875836554247761,0.86,0.581,9.11011549483564e-76,"0","Loxl1"
"Rpl26",5.84722086931732e-80,0.555725485680159,0.988,0.857,9.38186588481963e-76,"0","Rpl26"
"Rps27a",1.74483841928222e-79,0.569235181451556,0.988,0.843,2.79959324373833e-75,"0","Rps27a"
"Prdx5",1.06094224864906e-78,0.958795692082456,0.791,0.531,1.70228183795741e-74,"0","Prdx5"
"Prr16",1.20919386137041e-77,2.07755567430826,0.274,0.059,1.94015155056883e-73,"0","Prr16"
"Rps3",2.63932438366449e-77,0.536209479692969,0.994,0.867,4.23479597358968e-73,"0","Rps3"
"Rpl34",4.58988816913963e-77,0.565082684990702,0.98,0.832,7.36447556738454e-73,"0","Rpl34"
"Npc2",4.70839921812764e-77,0.785075745800327,0.896,0.648,7.5546265454858e-73,"0","Npc2"
"Sdc1",3.07351125390168e-76,1.94541796268093,0.311,0.082,4.93144880688524e-72,"0","Sdc1"
"Rps23",3.10807639576479e-76,0.563577346895551,0.988,0.841,4.98690857700461e-72,"0","Rps23"
"Emp1",7.00594960514173e-76,0.731736596068624,0.921,0.649,1.12410461414499e-71,"0","Emp1"
"Rpl18",1.11687086079357e-75,0.612631535556298,0.973,0.784,1.79201929614328e-71,"0","Rpl18"
"Pitx1",3.75669465409316e-75,0.846135685242141,0.713,0.371,6.02761657249248e-71,"0","Pitx1"
"Rps15a",1.81913200628947e-74,0.564210084408626,0.984,0.819,2.91879730409145e-70,"0","Rps15a"
"Fzd1",2.03555869925836e-74,1.07989692120784,0.633,0.329,3.26605393296004e-70,"0","Fzd1"
"Aard",2.32319394214678e-73,2.01196883841616,0.257,0.055,3.7275646801745e-69,"0","Aard"
"Srpx2",3.73939322506378e-73,1.38182053876331,0.484,0.205,5.99985642961484e-69,"0","Srpx2"
"Tpt1",6.93964622436952e-73,0.411174262311242,0.999,0.956,1.11346623670009e-68,"0","Tpt1"
"Dach1",9.12729249122827e-73,1.54804619291727,0.344,0.101,1.46447408021758e-68,"0","Dach1"
"Rcan2",8.31812117491304e-72,1.351490911124,0.43,0.161,1.3346425425148e-67,"0","Rcan2"
"Lamp2",8.49905564777089e-72,0.668308543994885,0.929,0.745,1.36367347868484e-67,"0","Lamp2"
"Pcsk6",1.32560933629655e-71,1.03363362994127,0.642,0.341,2.12694018008781e-67,"0","Pcsk6"
"Tubb2b",2.04014381584808e-71,1.6873944244398,0.39,0.141,3.27341075252825e-67,"0","Tubb2b"
"Rpl10",3.88633787445465e-71,0.574845209244043,0.983,0.799,6.23562911956248e-67,"0","Rpl10"
"Rpl10a",5.9092719989371e-71,0.629372603623626,0.956,0.737,9.48142692229457e-67,"0","Rpl10a"
"Rpl7",2.45290835719056e-70,0.646942996323641,0.944,0.737,3.93569145911225e-66,"0","Rpl7"
"Ghr",6.35149354507118e-70,1.14209137268847,0.6,0.312,1.01909713930667e-65,"0","Ghr"
"Rps19",3.59352926796469e-69,0.541434645476274,0.981,0.842,5.76581771044934e-65,"0","Rps19"
"Rpl3",6.21672925925899e-69,0.563585490494762,0.972,0.822,9.97474209648105e-65,"0","Rpl3"
"Rpl37a",1.07777861310353e-68,0.450938024343729,0.998,0.926,1.72929578472462e-64,"0","Rpl37a"
"Krtcap2",4.26438418252848e-68,0.773608526194623,0.83,0.574,6.84220442086694e-64,"0","Krtcap2"
"Psmb8",4.44087768450714e-67,1.23274093381437,0.516,0.245,7.12538824479171e-63,"0","Psmb8"
"Serpinh1",1.00875391248218e-66,0.543744142159865,0.982,0.884,1.61854565257766e-62,"0","Serpinh1"
"Pam",1.05131457300919e-66,0.811825718805547,0.867,0.662,1.68683423239324e-62,"0","Pam"
"Rpl35",3.9686227274085e-66,0.513186065044757,0.987,0.85,6.36765516612694e-62,"0","Rpl35"
"Rplp2",3.42727874447258e-65,0.495846876017362,0.992,0.881,5.49906874550625e-61,"0","Rplp2"
"Adamts2",5.6249392764228e-65,0.854990658693297,0.754,0.463,9.02521506902037e-61,"0","Adamts2"
"Hspa1b",9.27722196737404e-65,1.00287360135119,0.798,0.554,1.48853026466517e-60,"0","Hspa1b"
"Capg",1.43297611733199e-64,0.957595316380708,0.69,0.408,2.29921018025918e-60,"0","Capg"
"Rpl38",2.67573791363828e-64,0.457888860958902,0.989,0.89,4.29322148243262e-60,"0","Rpl38"
"Pla2g4a",3.09238569912127e-64,1.26808500298078,0.518,0.254,4.96173285424008e-60,"0","Pla2g4a"
"Snai1",6.24020823251959e-63,1.5099863259052,0.37,0.135,1.00124141090777e-58,"0","Snai1"
"Rps8",1.05275859184612e-62,0.443806892040293,0.993,0.928,1.6891511606171e-58,"0","Rps8"
"Hebp1",3.73641220343689e-62,1.47937017758797,0.386,0.15,5.99507338041448e-58,"0","Hebp1"
"Pid1",1.6033247211888e-61,0.778906068292591,0.773,0.49,2.57253451514743e-57,"0","Pid1"
"Rasl11a",2.05285846420053e-61,1.36314189454381,0.499,0.235,3.29381140580975e-57,"0","Rasl11a"
"Rpl35a",7.83904533376356e-61,0.471758387389246,0.991,0.883,1.25777482380236e-56,"0","Rpl35a"
"Prdx2",2.46920827486537e-60,0.740097090303543,0.81,0.552,3.96184467702149e-56,"0","Prdx2"
"Wls",2.73043442049433e-60,0.798476155547891,0.782,0.551,4.38098202768316e-56,"0","Wls"
"Rcn3",5.41332039882974e-60,0.713753912769231,0.841,0.607,8.68567257992232e-56,"0","Rcn3"
"Serpine2",7.22550010930596e-60,0.807917518257604,0.564,0.287,1.15933149253814e-55,"0","Serpine2"
"Rhobtb3",1.47129619446851e-58,1.25160560425667,0.45,0.207,2.36069474402473e-54,"0","Rhobtb3"
"Selenow",7.96507298999007e-58,0.549784140643682,0.952,0.799,1.27799596124391e-53,"0","Selenow"
"Wnt5b",1.88568771844395e-57,1.73200151333742,0.279,0.086,3.02558594424332e-53,"0","Wnt5b"
"Spon2",3.4644625660995e-57,0.522063725722512,0.905,0.706,5.55873018730665e-53,"0","Spon2"
"Rpl22",4.28168306099917e-57,0.457237249310265,0.979,0.863,6.86996047137317e-53,"0","Rpl22"
"Slco2b1",5.72549751483686e-57,1.54153596988092,0.321,0.11,9.18656076255575e-53,"0","Slco2b1"
"Id3",9.2553663007865e-57,0.681207310387348,0.95,0.791,1.48502352296119e-52,"0","Id3"
"Gabarap",1.41265954592727e-56,0.560389302969107,0.942,0.79,2.2666122414403e-52,"0","Gabarap"
"Rps26",6.09082629073262e-56,0.438688227888377,0.983,0.885,9.77273078348049e-52,"0","Rps26"
"Rpl36a",8.89900884439263e-56,0.537311232414961,0.965,0.771,1.4278459690828e-51,"0","Rpl36a"
"Rpl27a",9.22774352116085e-56,0.603108222306487,0.905,0.701,1.48059144797026e-51,"0","Rpl27a"
"Mgst1",9.71399852317814e-56,0.782071211519701,0.758,0.496,1.55861106304393e-51,"0","Mgst1"
"Morrbid",1.08436065350789e-55,1.52787729215297,0.312,0.109,1.73985666855342e-51,"0","Morrbid"
"Nenf",2.84180612943781e-55,0.598521020338871,0.899,0.691,4.55967793468296e-51,"0","Nenf"
"Pdia3",3.89048806458376e-55,0.611640404825192,0.896,0.705,6.24228809962465e-51,"0","Pdia3"
"Phlda3",4.53089658273558e-55,0.851071552116602,0.725,0.472,7.26982356699924e-51,"0","Phlda3"
"Col5a2",5.61866657762811e-55,0.560233860446981,0.949,0.799,9.0151505238043e-51,"0","Col5a2"
"S100a10",7.13175198394076e-55,0.477720422314459,0.983,0.853,1.1442896058233e-50,"0","S100a10"
"Mmp11",9.88945833021038e-55,1.49370356287097,0.32,0.114,1.58676358908226e-50,"0","Mmp11"
"Cd109",1.09524844006272e-54,1.65737352280493,0.284,0.091,1.75732612208064e-50,"0","Cd109"
"Jund",2.62036871058224e-54,0.433352299600921,0.997,0.971,4.20438159612921e-50,"0","Jund"
"Aprt",1.21248792009796e-53,0.878744102371254,0.64,0.386,1.94543686779718e-49,"0","Aprt"
"Rps21",2.99990262090172e-53,0.392166239338611,0.999,0.921,4.81334375523682e-49,"0","Rps21"
"Rabac1",4.51412281112928e-53,0.580672950982897,0.91,0.705,7.24291005045692e-49,"0","Rabac1"
"Chst15",4.89044239301193e-53,1.32844082561805,0.339,0.126,7.84671481958764e-49,"0","Chst15"
"Fscn1",6.17099490158207e-53,1.25904682281881,0.356,0.141,9.90136131958843e-49,"0","Fscn1"
"Spon1",6.44046333793157e-53,1.11230220921264,0.37,0.142,1.03337234257112e-48,"0","Spon1"
"Rps12",6.9057002828069e-53,0.417759580281766,0.983,0.878,1.10801961037637e-48,"0","Rps12"
"S100a11",1.27405292864974e-52,0.480647143998576,0.978,0.841,2.04421792401851e-48,"0","S100a11"
"Atp5e",1.64289659606442e-52,0.502240917984087,0.954,0.786,2.63602758838537e-48,"0","Atp5e"
"Sdk1",2.25372993793122e-52,1.0433021135274,0.426,0.19,3.61610968541064e-48,"0","Sdk1"
"Scpep1",2.85376330281191e-52,0.752852544249546,0.729,0.504,4.57886321936172e-48,"0","Scpep1"
"Clmp",2.92166372078618e-52,0.642451883174529,0.771,0.51,4.68780944000142e-48,"0","Clmp"
"Tmod3",3.81028299990347e-52,0.802839815256129,0.698,0.455,6.11359907334512e-48,"0","Tmod3"
"H2aj",1.06559956733535e-51,0.820820197018354,0.696,0.451,1.70975450578957e-47,"0","H2aj"
"Eif3k",1.8987121771408e-51,0.67883333502143,0.805,0.559,3.04648368822241e-47,"0","Eif3k"
"Gadd45g",2.18657192406923e-51,0.90243281238202,0.785,0.555,3.50835465216907e-47,"0","Gadd45g"
"Lman1",5.82144277320272e-51,0.910779862394499,0.626,0.384,9.34050492960376e-47,"0","Lman1"
"Pfdn5",8.68757369929276e-51,0.538036472960122,0.929,0.752,1.39392120005152e-46,"0","Pfdn5"
"Lamp1",1.02933843710864e-50,0.541586882762005,0.945,0.793,1.65157352234082e-46,"0","Lamp1"
"Desi2",1.68072279161669e-50,0.887729253288719,0.579,0.336,2.69671971914897e-46,"0","Desi2"
"Fgf10",5.60444658820459e-50,1.27771525305446,0.263,0.081,8.99233455077426e-46,"0","Fgf10"
"Atp5h",5.93323179982848e-50,0.511608473037993,0.918,0.723,9.51987042282479e-46,"0","Atp5h"
"H3f3b",6.10206545271245e-50,0.455687566837659,0.996,0.915,9.79076401887713e-46,"0","H3f3b"
"Tagln2",6.19292472716003e-50,0.515081049934654,0.922,0.725,9.93654772472827e-46,"0","Tagln2"
"Calcrl",6.78178024965064e-50,0.822368827690789,0.641,0.387,1.08813664105645e-45,"0","Calcrl"
"Zeb2",6.80551633051414e-50,0.460537712305957,0.942,0.77,1.09194509523099e-45,"0","Zeb2"
"H2-K1",1.53534362242831e-49,0.602465411525899,0.919,0.767,2.46345884218622e-45,"0","H2-K1"
"B2m",2.86127307523824e-49,0.467510227224484,0.973,0.863,4.59091264921976e-45,"0","B2m"
"Rpl14",4.47493776736303e-49,0.47180194866076,0.971,0.799,7.18003764773398e-45,"0","Rpl14"
"Fam129a",5.7279915721699e-49,0.771530582951384,0.682,0.451,9.19056247754661e-45,"0","Fam129a"
"Milr1",6.20092704489531e-49,1.39415663072724,0.321,0.124,9.94938744353452e-45,"0","Milr1"
"Robo2",6.95137733071858e-49,0.921921033938709,0.489,0.243,1.1153484927138e-44,"0","Robo2"
"Gm10076",7.34735677821754e-49,0.590993164769709,0.882,0.675,1.178883395065e-44,"0","Gm10076"
"S100a13",9.07193445115822e-49,0.603124588900785,0.887,0.701,1.45559188268834e-44,"0","S100a13"
"Eif3h",1.44059864978902e-48,0.65117180706832,0.779,0.543,2.31144053358649e-44,"0","Eif3h"
